,geometry,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
15,POINT (-75.17304960720236 39.92287370790204),16,Thomas I Guerin Recreation Center,1865,PPR_REC,A,Y,Y,51, ,Programs 9/2021
16,POINT (-75.24019174189782 39.92613768158861),17,John J McCreesh Sr Playground,508,PPR_REC,B,Y,N,86, ,Programs 9/2021
17,POINT (-75.16996238514315 39.92914004545351),18,A Giuseppe DiSilvestro Playground,228,PPR_REC,C,Y,N,32,Mixed use building with CHOP/Free Library/Public Health/PPR,Programs 9/2021
18,POINT (-75.18886294753848 39.93137987851266),19,George A Vare Recreation Center,1966,PPR_REC,A,Y,Y,138, ,Programs 1/2022
19,POINT (-75.16434979442573 39.93325422262738),20,Columbus Square,966,PPR_REC,A,Y,N,28, ,Programs 9/2021
20,POINT (-75.1512140702178 39.93379045576857),21,Solomon Sacks Playground,1947,PPR_REC,C,Y,N,117, ,Programs 9/2021
21,POINT (-75.15948203106569 39.93400586651811),22,Dr Nicola Capitolo Playground,501,PPR_REC,B,Y,N,15, ,Programs 9/2021
22,POINT (-75.19293308757355 39.93774621865987),23,Donald P Finnegan Recreation Center,452,PPR_REC,C,Y,N,34, ,Programs 9/2021
23,POINT (-75.17418100288664 39.93816825031924),24,Charles H Chew Jr Playground,268,PPR_REC,B,Y,N,21, ,Programs 9/2021
24,POINT (-75.15084259144906 39.9378443627182),25,Weccacoe Square,1969,PPR_REC,C,Y,N,143, ,Programs 9/2021
25,POINT (-75.20980829178409 39.941956477993),26,48th and Woodland Playground,1804,PPR_REC,B,Y,N,2, ,Programs 9/2021
26,POINT (-75.15848785285846 39.94136193900338),27,Walter Palumbo Recreation Center,1927,PPR_REC,A,Y,Y,103, ,Programs 9/2021
27,POINT (-75.21701254114862 39.94284845801623),28,Kingsessing Recreation Center,1886,PPR_REC,A,Y,Y,72, ,Programs 9/2021
28,POINT (-75.23441297065048 39.94889501459352),29,Albert W Christy Sr Recreation Center,1829,PPR_REC,A,Y,Y,22, ,Programs 9/2021
29,POINT (-75.14346019138254 39.96275068929724),30,Northern Liberties Recreation Center,1921,PPR_REC,A,Y,Y,100, ,Programs 9/2021
30,POINT (-75.21581736683838 39.96598037406851),31,Mill Creek Playground and Recreation Center,1911,PPR_REC,B,Y,N,91, ,Programs 9/2021
31,POINT (-75.16793882008984 39.96571905643684),32,Roberto Clemente Playground,1831,PPR_REC,C,Y,N,25, ,Programs 9/2021
32,POINT (-75.19562178284924 39.96747897079119),33,Miles Mack Playground,1910,PPR_REC,B,Y,N,90, ,Programs 9/2021
33,POINT (-75.25039597252159 39.96935864804794),34,William T Granahan Playground,1864,PPR_REC,B,Y,N,50,Located within Cobbs Creek Park,Programs 9/2021
34,POINT (-75.16712929481936 39.96849537768728),35,Francisville Recreation Center,1859,PPR_REC,B,Y,N,45, ,Programs 9/2021
35,POINT (-75.26015318510711 39.97312812095343),36,Samuel Rose Recreation Center,1944,PPR_REC,C,Y,N,115,Located with Cobbs Creek Park,Programs 9/2021
36,POINT (-75.25630044716168 39.97445812969021),37,Charles A Papa Playground,1929,PPR_REC,B,Y,N,105,Located in Morris Park.,Programs 9/2021
37,POINT (-75.127804193671 39.97185193621374),38,Fishtown Recreation Center,1856,PPR_REC,A,Y,N,41, ,Programs 9/2021
